Name                                                               Type                   Forward_MACs     FPercent    Memory          MPercent    Params       PPercent    InShape          OutShape
/backbone/backbone.0/layers.2/Mul_5                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_6                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_7                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_8                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_9                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_10                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_11                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_12                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_13                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_14                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_15                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_16                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_17                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_18                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_19                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_20                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_21                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_22                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_23                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_24                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_25                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_26                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
